Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Total_Spending,Total_Purchases,Average_Spend,Family_Size,Age,Engagement,Spending_Ratio,Customer_Days,Customer_Year,Customer_Month,Education_2n Cycle,Education_Basic,Education_Graduation,Education_Master,Education_PhD,Marital_Status_Divorced,Marital_Status_Married,Marital_Status_Single,Marital_Status_Together,Marital_Status_Widow,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,Age_Group,Income_Level,Spending_Level
58138.0,0,0,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,1,1617,22,70.30434782608695,1,69,0.3728813559322034,0.027812655876434,663,2012,9,0,0,1,0,0,0,0,1,0,0,4.907177410526789,-1.4189739506344223,-2.965288570074236,-0.7531507750891263,0.6126290770880553,-0.2936249708323423,-1.2829819999340477,1.6381474443153727,-0.6560064108796207,0.40798740592602134,-0.33526410783464516,-0.4743063422738721,0.20038932000908477,-0.25807849961509544,-0.5065653521440223,0.14043467299464882,-0.30391736442195316,0.057118669552727784,-0.9476924708733717,-1.3223665482579927,1.1118151365417797,0.9719719458267347,-0.8652666418891583,0.27599602689896363,1.236291380491801,Senior,Medium,High
46344.0,1,1,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,0,27,4,5.4,3,72,0.1025641025641025,0.0005825871183514,113,2014,3,0,0,1,0,0,0,0,1,0,0,-3.354716016965042,1.3855837555223889,1.5753328189678835,-0.39442041175773,1.5063184006194383,-0.3861975791037835,-1.2239701200636384,1.2124949743994904,-0.8217217470812453,0.6911707254198288,-0.38835511768765596,0.19635283568381245,-0.11163561238381126,-1.0322376470875545,-0.4455637802518405,-0.41463535429365905,0.38637258914636474,1.025140804569644,-0.6488092714751807,-0.5407642358978865,-0.03619328242424115,-0.010585370041751573,0.013301301776570976,0.13530503627854262,-0.025435645423739453,Senior,Medium,Low
71613.0,0,0,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0,776,20,36.95238095238095,1,61,0.7407407407407407,0.010835870081269,312,2013,8,0,0,1,0,0,0,0,0,1,0,2.062370382304223,0.504276670684385,-0.1714683157353142,-1.4871763222729268,-0.1503821377351957,-0.8096053591711542,-0.9494955542055754,-1.7409865479531896,-0.27190809366931323,-0.4662449012429966,-1.0783071471199968,0.41327269153225904,-0.03157531527977762,0.5662243282058698,0.9114191279631952,-0.2408327096106808,-0.48199974216515307,-0.9350359135005412,0.020496100618350003,0.5121659051457825,0.328799820528085,0.1595807391027031,-0.38639556376859524,-0.3246348596826945,-0.10971696118911611,Middle_Age,High,Medium
26646.0,1,0,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0,53,6,7.571428571428571,2,42,0.2222222222222222,0.0019889668630615,139,2014,2,0,0,1,0,0,0,0,0,1,0,-3.1433812210000984,2.195761263992232,0.07129819972228596,-0.4025304409061615,1.245851059967582,-0.5925481087680767,-0.8056783866115362,-1.0671344870232486,1.0482769928344615,-0.6604419762328636,-1.0875785853197855,0.05077986185285785,-0.11638262974179672,0.6835830956840249,-0.44023416013464045,0.2995302920566573,-0.31349737208110556,-1.0604364400112254,0.2245836916849415,0.14853991161432314,-0.19949342664751565,-0.008380015659154265,-0.09246049316491992,-0.43538995686572624,-0.30978994936414705,Young,Low,Low
58293.0,1,0,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,0,422,14,28.133333333333333,2,45,0.1473684210526315,0.0072391669811644,161,2014,1,0,0,0,0,1,0,1,0,0,0,-0.6225185458943635,0.9826499968602928,1.52361437368482,-0.07173847394379794,-0.4096409418365207,0.8181055785613021,1.6333747318752592,1.9114724498724,1.1844659696381779,-1.4688249042240367,-0.2515896855842951,0.246895708837198,-0.07708669268699564,0.5956734779686917,-0.5642825056013087,0.3962269671667849,0.05886648473229963,-1.560077381917806,1.0965475524029893,-0.39919028127076367,0.661513989493779,-0.13469278292742307,-0.360804291663055,0.1838609883629074,0.7876013916878001,Young,Medium,Medium
62513.0,0,1,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,0,716,20,34.095238095238095,2,59,1.1764705882352942,0.0114534344306875,293,2013,9,0,0,0,1,0,0,0,0,1,0,0.953649484127961,-0.9373883114690359,1.2681902924570594,-0.17029542733972475,-1.6720294775119071,-0.5508351702930712,-1.1749766131221042,-1.610923036883124,1.2114775640280715,1.4857515308017166,-0.7731568761457102,-0.01391073484862673,-0.2852894440580611,0.2542944003517883,0.7753715815213313,-0.3253537155772813,-0.07360266802662903,-0.30325650488230077,0.32105415406945154,0.7365726085601196,-0.009239731213346494,-0.23974534151550608,-0.5598838185673201,-0.5033287663506106,-0.5174871919229963,Middle_Age,Medium,Medium
55635.0,0,1,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,0,590,17,32.77777777777778,2,55,0.4857142857142857,0.0106046444748004,593,2012,11,0,0,1,0,0,1,0,0,0,0,0.7999783599747046,-2.3662590503216516,-0.8106888540932023,-1.4768053262023466,0.5512611951484976,-0.3369871749017559,-0.6693456284535677,-0.5342154723571109,-1.4803913446164403,0.08290776154590267,1.7825040066537485,-0.06625463366762967,-1.4780736902988894,1.2547609351667135,0.017567732950252733,0.07052139360962852,0.5357997982571755,-0.12505230941009643,0.2599759234796827,0.7551601159403787,0.044485526328772326,-0.21068772579827189,-0.5543579397100843,-0.3714424351437598,-0.42432131372681886,Middle_Age,Medium,Medium
33454.0,1,0,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0,169,8,18.77777777777778,2,41,0.2424242424242424,0.005051561799432,417,2013,5,0,0,0,0,1,0,1,0,0,0,-2.540790055154652,0.06581221153670194,-0.5269670465011643,0.938083165377911,-0.919353921577322,1.3798499484254254,1.1461451856755343,0.5655146710994525,0.08588685290930127,-1.280658586471434,-0.60739489417446,0.057630759315164086,-0.45899912256992875,0.46551559469018533,-0.28688440440759355,0.26683470752493527,-0.1656620472486528,-1.5101194890933327,0.66271328032834,-0.3850083312919667,0.031565398747620425,0.341086375689181,0.4786323547438398,-0.03319491152004338,-0.6006475202186194,Young,Low,Medium
30351.0,1,0,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,1,46,5,7.666666666666667,2,52,0.25,0.0015155508697944,388,2013,6,0,0,0,0,1,0,0,0,1,0,-3.080271618802558,0.1797665873671559,-1.010753758705043,2.231850596115756,-0.8160874119440988,-0.48363785815215854,-1.1753243830770377,-0.6832291454870227,0.28759290334509535,-1.759215314401279,-0.9599808012030723,-1.0647434351852232,-0.44647370045708257,-0.011478174978522408,-0.36410575091022174,0.2522841285381876,0.0831228334851916,-1.6041101768704435,-0.234591451331556,-0.8566780480079121,0.4191800355439162,0.7969347150830319,-0.25868000098558536,-0.6187847836369578,0.7155735610839358,Middle_Age,Low,Low
5648.0,1,1,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,0,49,1,24.5,3,76,0.0144927536231884,0.0086741016109045,108,2014,3,0,0,0,0,1,0,0,0,1,0,-5.008581007043258,-0.5867380173307224,1.0687918344904797,2.0562655540274095,0.6491921859835859,-0.9955740357272748,-0.7949690624743634,0.677930696437645,1.6430009597680402,-2.4414042953128785,-0.0036918801261239587,-2.4187163489169357,1.7297847318498687,0.48296023466909593,1.2862517874832888,-0.3174400593792801,-0.35985384633841255,-0.27942180109435444,-0.9961730604843321,-0.7995163856524935,0.8820892634716309,1.6566593231388551,-0.12374689827440584,3.094950602351828,-1.6055834655125893,Senior,Low,Low
