Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Total_Spending,Total_Purchases,Average_Spend,Family_Size,Age,Engagement,Spending_Ratio
Graduation,Single,58138.0,0,0,2012-09-04,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,1,1617,22,70.30434782608695,1,69,0.3728813559322034,0.027812655876434063
Graduation,Single,46344.0,1,1,2014-03-08,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,0,27,4,5.4,3,72,0.10256410256410256,0.0005825871183514943
Graduation,Together,71613.0,0,0,2013-08-21,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0,776,20,36.95238095238095,1,61,0.7407407407407407,0.010835870081269025
Graduation,Together,26646.0,1,0,2014-02-10,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0,53,6,7.571428571428571,2,42,0.2222222222222222,0.0019889668630615077
PhD,Married,58293.0,1,0,2014-01-19,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,0,422,14,28.133333333333333,2,45,0.14736842105263157,0.007239166981164442
Master,Together,62513.0,0,1,2013-09-09,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,0,716,20,34.095238095238095,2,59,1.1764705882352942,0.011453434430687526
Graduation,Divorced,55635.0,0,1,2012-11-13,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,0,590,17,32.77777777777778,2,55,0.4857142857142857,0.010604644474800489
PhD,Married,33454.0,1,0,2013-05-08,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0,169,8,18.77777777777778,2,41,0.24242424242424243,0.005051561799432073
PhD,Together,30351.0,1,0,2013-06-06,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,1,46,5,7.666666666666667,2,52,0.25,0.0015155508697944123
PhD,Together,5648.0,1,1,2014-03-13,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,0,49,1,24.5,3,76,0.014492753623188406,0.008674101610904586
Basic,Married,7500.0,0,0,2012-11-13,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,0,61,5,10.166666666666666,1,50,0.08333333333333333,0.008132249033462205
Graduation,Divorced,63033.0,0,0,2013-11-15,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,0,1102,15,68.875,1,67,0.18072289156626506,0.017482628422755973
Master,Divorced,59354.0,1,1,2013-11-15,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,0,310,12,23.846153846153847,3,74,0.2222222222222222,0.005222811894532896
Graduation,Married,17323.0,0,0,2012-10-10,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,0,46,4,9.2,1,39,0.10256410256410256,0.0026552759178018934
PhD,Single,82800.0,0,0,2012-11-24,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,1,1315,25,50.57692307692308,1,80,1.0416666666666667,0.015881450707117065
Graduation,Married,41850.0,1,1,2012-12-24,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,0,96,6,13.714285714285714,3,46,0.11538461538461539,0.002293851998757497
Graduation,Together,37760.0,0,0,2012-08-31,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,0,317,11,26.416666666666668,1,80,0.5238095238095238,0.008394904795953497
Master,Married,76995.0,0,1,2013-03-28,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,0,1782,24,71.28,2,77,0.2608695652173913,0.023144059431658787
2n Cycle,Single,33812.0,1,0,2012-11-03,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,0,133,6,19.0,2,41,0.06896551724137931,0.003933398397066217
Graduation,Married,37040.0,0,0,2012-08-08,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,0,316,11,26.333333333333332,1,44,0.2619047619047619,0.008531087173672416
Graduation,Married,2447.0,1,0,2013-01-06,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,0,1730,28,59.6551724137931,2,47,0.6511627906976745,0.7066993464052288
PhD,Married,58607.0,0,1,2012-12-23,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,0,972,14,64.8,2,77,0.21875,0.016584766584766583
PhD,Married,65324.0,0,1,2014-01-11,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,544,17,30.22222222222222,2,72,17.0,0.008327592805204745
Graduation,Together,40689.0,0,1,2013-03-18,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,0,444,13,31.714285714285715,2,75,0.18571428571428572,0.010911771934136151
Graduation,Single,18589.0,0,0,2013-01-02,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,0,75,6,10.714285714285714,1,57,0.06666666666666667,0.004034427111350188
Graduation,Married,53359.0,1,1,2013-05-27,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,0,257,10,23.363636363636363,3,50,2.0,0.004816341829085457
Graduation,Married,38360.0,1,0,2013-05-31,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,0,131,7,16.375,2,37,0.25925925925925924,0.003414926618179922
PhD,Married,84618.0,0,0,2013-11-22,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,0,1672,25,64.3076923076923,1,61,0.25773195876288657,0.019759155745163615
Master,Divorced,10979.0,0,0,2014-05-22,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,0,30,6,4.285714285714286,1,37,0.17142857142857143,0.00273224043715847
Master,Together,38620.0,0,0,2013-05-11,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,318,10,28.90909090909091,1,63,0.17543859649122806,0.008233862406462806
Graduation,Together,40548.0,0,1,2012-10-10,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,0,120,7,15.0,2,56,0.21875,0.002959382475523441
PhD,Divorced,46610.0,0,2,2012-10-29,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,1,302,11,25.166666666666668,3,74,1.2222222222222223,0.006479157280470276
Master,Married,68657.0,0,0,2013-02-20,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0,1196,17,66.44444444444444,1,80,3.4,0.017419674327827785
Master,Single,49389.0,1,1,2013-08-29,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,0,65,5,10.833333333333334,3,75,0.08928571428571429,0.0013160558817574407
PhD,Married,67353.0,0,1,2013-12-31,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,0,913,23,38.041666666666664,2,56,0.6052631578947368,0.01355524541972266
2n Cycle,Married,23718.0,1,0,2013-09-02,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,0,81,6,11.571428571428571,2,50,0.07792207792207792,0.0034149837682870272
Graduation,Widow,42429.0,0,1,2014-02-11,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0,67,5,11.166666666666666,2,53,0.05,0.0015790714117369785
PhD,Divorced,48948.0,0,0,2013-02-01,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,1,902,22,39.21739130434783,1,83,0.4074074074074074,0.01842734274448916
Graduation,Married,80011.0,0,1,2013-04-29,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,0,1395,19,69.75,2,46,4.75,0.017434884767284907
Master,Married,20559.0,1,0,2013-03-12,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,0,53,5,8.833333333333334,2,41,0.056179775280898875,0.0025778210116731517
Graduation,Together,21994.0,0,1,2012-12-24,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,22,3,5.5,2,69,0.6,0.0010002273243919072
Master,Married,7500.0,1,0,2013-10-02,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,0,31,5,5.166666666666667,2,51,0.25,0.0041327822956939075
Graduation,Single,79941.0,0,0,2014-06-28,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,0,984,15,61.5,1,50,0.2054794520547945,0.012308923969878162
